Country,Year,AnnualMeanTemp,TempVolatility,iso_code,population,gdp,co2,co2_per_capita,cumulative_co2,ghg_per_capita,greenhouse_gas,gdp_per_capita,carbon_intensity_elec,electricity_generation,CoalShare,GasShare,NuclearShare,HydroShare,SolarShare,WindShare,RenewablesShare,Low_carbonShare
Albania,2016,15.962553713934929,6.855255058737409,ALB,2897868.0,30200694449.0,4.555,1.572,269.097,3.232,9.365,10421.694310782961,23.14,7.78,0.0,0.0,0.0,100.0,0.0,0.0,100.0,100.0
Albania,2017,15.769254185692544,7.4056820703177735,ALB,2898245.0,31348975722.0,5.344,1.844,274.441,3.478,10.08,10816.537498382642,24.28,4.53,0.0,0.0,0.0,100.0,0.0,0.0,100.0,100.0
Albania,2018,16.720061728395063,6.851468588474986,ALB,2894229.0,32609000823.0,5.195,1.795,279.635,3.324,9.622,11266.904181735446,23.39,8.55,0.0,0.0,0.0,100.0,0.0,0.0,100.0,100.0
Albania,2019,16.482253086419753,7.025372756818218,ALB,2885011.0,33289747424.0,4.941,1.712,284.576,3.097,8.936,11538.86325702051,23.08,5.2,0.0,0.0,0.0,99.6153846153846,0.3846153846153846,0.0,100.0,100.0
Albania,2020,10.644278606965175,4.037561793538356,ALB,2871950.0,32130726850.0,4.865,1.694,289.441,2.891,8.303,11187.773759988857,24.48,5.31,0.0,0.0,0.0,99.43502824858759,0.5649717514124294,0.0,100.0,100.0
Austria,2000,11.533090467516697,7.522914832028153,AUT,8012929.0,280410163017.0,66.204,8.262,4100.176,9.933,79.593,34994.714544082446,203.39,59.64,9.59087860496311,13.162307176391682,0.0,70.15425888665325,0.0,0.11737089201877934,72.83702213279678,72.83702213279678
Austria,2001,10.457229832572299,8.038163963128039,AUT,8042233.0,285335695766.0,70.191,8.728,4170.367,10.387,83.539,35479.660408496,229.09,60.98,11.29878648737291,14.348966874385043,0.0,66.34962282715645,0.01639881928501148,0.16398819285011482,69.26861265988849,69.26861265988849
Austria,2002,11.03831948291782,7.543509542511575,AUT,8081640.0,291231427735.0,71.988,8.908,4242.355,10.55,85.26,36036.17925755169,226.13,60.63,10.902193633514761,15.355434603331682,0.0,66.35329045027214,0.016493485073396007,0.23090879102754414,69.10770245752927,69.10770245752927
Austria,2003,10.830593607305937,9.135036341813349,AUT,8122604.0,294489280951.0,77.412,9.53,4319.767,11.383,92.458,36255.52605432938,282.39,57.97,14.559254786958773,19.251336898395724,0.0,57.28825254441953,0.017250301880282905,0.6382611695704675,60.790063826116956,60.790063826116956
Austria,2004,10.335003035822709,7.633566552260723,AUT,8173496.0,303692479841.0,77.716,9.508,4397.483,11.138,91.037,37155.76294904898,259.34,61.85,12.789005658852062,17.704122877930477,0.0,59.4341147938561,0.03233629749393695,1.503637833468068,64.05820533548908,64.05820533548908
Austria,2005,10.167884322678843,8.044736991928154,AUT,8229204.0,311441138652.0,79.095,9.612,4476.579,11.195,92.129,37845.84009000142,254.0,64.37,11.13872922168712,20.242348920304487,0.0,57.63554450831132,0.031070374398011493,2.0661798974677645,63.5078452695355,63.5078452695355
Austria,2006,10.686301369863013,8.62261214426693,AUT,8269901.0,323236897651.0,76.796,9.286,4553.375,10.905,90.179,39085.945242996255,253.01,62.21,11.846969940524032,17.15158334672882,0.0,57.32197395917055,0.032149172158816915,2.8130525638964796,65.35926699887477,65.35926699887477
Austria,2007,11.671703296703297,7.38296220749532,AUT,8296948.0,336303973991.0,74.092,8.93,4627.467,10.606,87.998,40533.455674423894,232.69,62.83,10.504536049657807,15.75680407448671,0.0,58.968645551488144,0.03183192742320548,3.2468565971669583,68.70921534298903,68.70921534298903
Austria,2008,11.439573820395738,6.786184320566386,AUT,8323250.0,342892519161.0,73.466,8.827,4700.934,10.584,88.091,41196.95060955756,220.41,64.38,8.589624106865488,17.365641503572537,0.0,59.537123330226784,0.04659832246039143,3.122087604846225,69.16744330537435,69.16744330537435
Austria,2009,10.98550061050061,8.19649012272872,AUT,8345073.0,331119036991.0,67.302,8.065,4768.235,9.679,80.774,39678.387114288875,195.89,66.21,5.678900468207219,18.63766802597795,0.0,61.77314605044556,0.07551729346020239,2.9451744449478934,71.25811810904698,71.25811810904698
Austria,2010,9.583713850837139,8.42218257343736,AUT,8365087.0,338832243101.0,72.0,8.607,4840.235,10.234,85.611,40505.52529830234,226.78,67.82,7.254497198466529,21.158950162194046,0.0,56.56148628723091,0.13270421704511945,3.037452079032734,66.33736360955471,66.33736360955471
Austria,2011,10.710806697108067,7.944698651296622,AUT,8393272.0,349713455451.0,69.892,8.327,4910.127,9.924,83.299,41665.92664350685,238.59,62.2,8.729903536977492,20.0,0.0,55.048231511254016,0.2733118971061093,3.1189710610932475,65.7717041800643,65.7717041800643
Austria,2012,11.061930783242259,8.268809768515348,AUT,8431599.0,352093108730.0,67.26,7.977,4977.388,9.525,80.307,41758.758775174196,185.87,68.65,6.394756008739984,14.1442097596504,0.0,63.8747268754552,0.4952658412235979,3.5833940276766203,74.77057538237435,74.77057538237435
Austria,2013,10.792389649923898,7.951797393845941,AUT,8481411.0,352182904722.0,67.759,7.989,5045.146,9.583,81.276,41524.093658708436,173.35,64.55,6.522075910147172,10.302091402013943,0.0,65.09682416731218,0.975987606506584,4.8799380325329205,78.23392718822618,78.23392718822618
Austria,2014,11.862789987789988,6.492430460762658,AUT,8547812.0,354511819035.0,64.159,7.506,5109.305,9.008,76.998,41473.98410669303,150.45,61.55,4.776604386677498,8.643379366368807,0.0,66.62875710804225,1.2835093419983754,6.255077173030058,81.55970755483347,81.55970755483347
Austria,2015,11.929334554334556,7.725596619622029,AUT,8644037.0,358108266932.0,66.358,7.677,5175.663,9.098,78.641,41428.35887120798,172.06,61.78,4.775008093234057,12.398834574295888,0.0,60.14891550663645,1.5215280025898348,7.834250566526384,77.03140174813856,77.03140174813856
Austria,2016,11.1712580348944,7.69450063445829,AUT,8737920.0,365232738553.0,67.219,7.693,5242.881,9.074,79.291,41798.5903456429,154.62,64.87,3.1447510405426233,13.087713889317095,0.0,61.615538769847376,1.6956990904886695,8.062278402959766,78.74209958378295,78.74209958378295
Austria,2017,11.306392694063929,8.50875559880554,AUT,8798779.0,373481694490.0,69.601,7.91,5312.483,9.32,82.007,42446.99116661528,162.92,67.09,2.623341779698912,16.26173796392905,0.0,57.07258905947234,1.8929795796691011,9.79281562080787,76.09181696228944,76.09181696228944
Austria,2018,12.104972375690608,8.69473864340833,AUT,8841653.0,382540042762.0,66.567,7.529,5379.049,8.939,79.038,43265.67020465517,157.88,64.67,2.798824802845214,15.3394154940467,0.0,58.203185402814285,2.257615586825421,9.324261635998145,77.40838101128807,77.40838101128807
Austria,2019,12.173456790123456,7.73250864288377,AUT,8880876.0,388344674039.0,67.951,7.651,5447.001,9.056,80.427,43728.194610419065,152.78,70.69,2.1219408685811287,16.01358042155892,0.0,57.75923044277833,2.404866317725279,10.538972980619606,77.29523270618192,77.29523270618192
Austria,2020,7.180348258706468,5.1425955313532,AUT,8921402.0,363281092036.0,62.18,6.97,5509.181,8.341,74.417,40720.17963499459,133.28,69.03,0.811241489207591,14.41402288859916,0.0,60.843111690569316,2.955236853541938,9.83630305664204,80.28393452122266,80.28393452122266
Belarus,2000,8.311778992106861,7.748054794533627,BLR,9991310.0,91419114455.0,55.014,5.506,3753.76,8.843,88.358,9149.862676165589,518.01,26.1,0.0,93.33333333333333,0.0,0.11494252873563218,0.0,0.0,0.11494252873563218,0.11494252873563218
Belarus,2001,7.4261796042617965,9.90905789551261,BLR,9938068.0,94624119098.0,54.105,5.444,3807.865,8.792,87.376,9521.37971867369,516.55,25.07,0.0,94.0566414040686,0.0,0.11966493817311527,0.0,0.0,0.11966493817311527,0.11966493817311527
Belarus,2002,8.074330563250232,9.93044291972011,BLR,9873451.0,98263269227.0,53.944,5.464,3861.809,8.807,86.952,9952.271928730897,515.5,26.46,0.0,94.74678760393046,0.0,0.11337868480725621,0.0,0.0,0.11337868480725621,0.11337868480725621
Belarus,2003,7.002283105022832,9.431281397959022,BLR,9803175.0,103937865617.0,55.236,5.635,3917.045,9.076,88.974,10602.469670999446,514.08,26.63,0.0,95.79421704844162,0.0,0.11265490048817123,0.0,0.0,0.11265490048817123,0.11265490048817123
Belarus,2004,7.066636308439588,8.852328022429225,BLR,9735089.0,114486408721.0,58.373,5.996,3975.418,9.674,94.18,11760.18100307044,515.06,31.2,0.0,95.06410256410257,0.0,0.09615384615384615,0.0,0.0,0.09615384615384615,0.09615384615384615
Belarus,2005,7.302739726027397,9.493365303034697,BLR,9667833.0,123858071551.0,59.396,6.144,4034.814,9.872,95.442,12811.35819691962,512.6,30.96,0.0,96.83462532299741,0.0,0.12919896640826875,0.0,0.0,0.12919896640826875,0.12919896640826875
Belarus,2006,7.31537290715373,10.230057776605664,BLR,9608041.0,134673942572.0,61.809,6.433,4096.624,10.195,97.951,14016.795158555215,515.25,31.81,0.0,94.97013517761711,0.0,0.12574662055957248,0.0,0.0,0.12574662055957248,0.12574662055957248
Belarus,2007,8.19727578818488,9.201336731058166,BLR,9563135.0,144615680573.0,60.276,6.303,4156.899,10.192,97.469,15122.204232503253,508.95,31.83,0.03141690229343387,99.02607602890356,0.0,0.12566760917373548,0.0,0.0,0.15708451146716934,0.15708451146716934
Belarus,2008,8.318223443223443,7.9190907693292,BLR,9529357.0,157577029170.0,62.931,6.604,4219.831,10.72,102.151,16535.956116451507,512.13,35.05,0.028530670470756067,96.8901569186876,0.0,0.11412268188302427,0.0,0.0,0.19971469329529246,0.19971469329529246
Belarus,2009,7.231532356532357,8.829683548642192,BLR,9507334.0,156010272888.0,60.628,6.377,4280.459,10.547,100.278,16409.465880550742,534.08,30.37,0.03292723081988805,81.72538689496213,0.0,0.1317089232795522,0.0,0.0,0.3621995390187685,0.3621995390187685
Belarus,2010,7.159208523592086,11.340494384211109,BLR,9490752.0,166239903113.0,62.515,6.587,4342.975,10.804,102.54,17515.9885236702,511.18,34.9,0.08595988538681948,97.134670487106,0.0,0.14326647564469916,0.0,0.0,0.4011461318051576,0.4011461318051576
Belarus,2011,8.062100456621005,9.755122848256379,BLR,9472738.0,173120303880.0,61.353,6.477,4404.328,10.667,101.044,18275.63518382964,509.16,32.19,0.06213109661385524,98.29139484311898,0.0,0.12426219322771048,0.0,0.0,0.4349176762969867,0.4349176762969867
Belarus,2012,7.284304796599879,10.397895536067946,BLR,9463075.0,175940441074.0,62.592,6.614,4466.919,10.928,103.409,18592.31180921635,510.22,30.81,0.06491398896462187,96.68938656280429,0.0,0.22719896137617662,0.0,0.03245699448231094,0.6815968841285297,0.6815968841285297
Belarus,2013,7.955555555555556,9.79577988373263,BLR,9464454.0,177632980571.0,64.152,6.778,4531.071,11.306,107.009,18768.434034440867,505.87,31.51,0.06347191367819739,98.41320215804507,0.0,0.4443033957473818,0.0,0.031735956839098696,0.9520787051729609,0.9520787051729609
Belarus,2014,8.233669108669108,9.265348818118296,BLR,9472704.0,180627882895.0,63.699,6.725,4594.771,11.093,105.083,19068.24945601594,507.2,34.74,0.08635578583765112,97.98503166378813,0.0,0.3454231433506045,0.0,0.028785261945883704,0.8347725964306274,0.8347725964306274
Belarus,2015,9.027472527472527,8.037483185694475,BLR,9487289.0,173709821418.0,58.828,6.201,4653.598,10.634,100.888,18309.742795650054,506.89,34.09,0.11733646230566148,97.82927544734525,0.0,0.32267527134056906,0.02933411557641537,0.0880023467292461,0.9973599295981226,0.9973599295981226
Belarus,2016,8.006752608962554,9.491800160450774,BLR,9499066.0,169304543676.0,58.188,6.126,4711.786,10.595,100.643,17823.28322342428,506.11,33.57,0.08936550491510277,96.90199582960977,0.0,0.41703902293714634,0.08936550491510277,0.23830801310694072,1.2809055704498065,1.2809055704498065
